Distribuidora;Codigo;Descripcion;Margen
ARNOIA;O42;(508) SUPERMEMO WORLD;0.00
ARNOIA;M78;100 LUZ EDIÇOES;0.00
ARNOIA;J86;1001;0.00
ARNOIA;Q19;11X17 EDITORA;0.00
ARNOIA;B71;12 BIS;0.00
ARNOIA;H51;2.0 EDITORA;0.00
ARNOIA;A68;3I4 EDICIONS;0.00
ARNOIA;141;451 EDITORES;0.00
ARNOIA;X11;4M;0.00
ARNOIA;D33;66RPM;0.00
ARNOIA;I33;66RPM (CATALAN);0.00
ARNOIA;983;A BUEN PASO;0.00
ARNOIA;M77;A ESFERA DOS LIVROS;0.00
ARNOIA;450;A RULA;0.00
ARNOIA;L43;A.C. CALDEIRON;0.00
ARNOIA;826;A.C.AMIGOS REAL BANDA GAITAS;0.00
ARNOIA;890;AACHE;0.00
ARNOIA;523;ABACUS;0.00
ARNOIA;K73;ABACUS;0.00
ARNOIA;280;ABADA EDITORES;0.00
ARNOIA;E77;ABADIA DE MONTSERRAT;0.00
ARNOIA;I75;ABRIL PRODIDACTA;0.00
ARNOIA;G23;ACADEMIA DEL HISPANO;0.00
ARNOIA;K45;ACADEMIC PRESS;0.00
ARNOIA;831;ACANTILADO EDITORIAL;0.00
ARNOIA;K23;ACANTO;0.00
ARNOIA;B56;ACCENT;0.00
ARNOIA;J27;ACCID;0.00
ARNOIA;343;ACENTO;0.00
ARNOIA;L73;ACONCAGUA;0.00
ARNOIA;A70;ACONTRAVENT;0.00
ARNOIA;C17;ACONTRAVENT;0.00
ARNOIA;C72;ACRIBIA;0.00
ARNOIA;D93;ACTAR;0.00
ARNOIA;B77;ACTAS;0.00
ARNOIA;O67;ACTES SUD;0.00
ARNOIA;512;ACUARELA;0.00
ARNOIA;G69;ACV EDICIONS (CATALAN);0.00
ARNOIA;333;ACV EDITORIAL;0.00
ARNOIA;419;ADDISON WESLEY;0.00
ARNOIA;P61;ADDITIO;0.00
ARNOIA;F76;ADELPHI;0.00
ARNOIA;B57;ADESIARA;0.00
ARNOIA;G13;ADG;0.00
ARNOIA;J63;ADGE LLIBRES;0.00
ARNOIA;E41;ADHARA;0.00
ARNOIA;I63;ADONAY;0.00
ARNOIA;585;ADRIANA HIDALTO, EDITORIAL;0.00
ARNOIA;C67;AECA;0.00
ARNOIA;395;AENOR;0.00
ARNOIA;M88;AFRONTAMENTO;0.00
ARNOIA;J67;AGENCIA JOYCE;0.00
ARNOIA;F19;AGORA RELACIONAL;0.00
ARNOIA;C61;AGRUPARTE;0.00
ARNOIA;4;AGUACLARA;0.00
ARNOIA;D85;AGUALARGA EDITORES;0.00
ARNOIA;338;AGUILAR;0.00
ARNOIA;565;AHEAD BOOKS;0.00
ARNOIA;G50;AIZKORRI;0.00
ARNOIA;A71;AJUNTAMENT;0.00
ARNOIA;166;AKAL;0.00
ARNOIA;I80;AL  -ANDALUS Y MEDITERRANEO;0.00
ARNOIA;G26;AL POSTE EDICIONES;0.00
ARNOIA;Y02;ALAMEDA;0.00
ARNOIA;396;ALAMUT;0.00
ARNOIA;B49;ALARCON EDITORIAL;0.00
ARNOIA;J73;ALAS EDITORIAL;0.00
ARNOIA;532;ALBA;0.00
ARNOIA;J38;ALBERDANIA;0.00
ARNOIA;M04;ALBERDI EDICIONES;0.00
ARNOIA;A96;ALBERTI EDITOR;0.00
ARNOIA;L52;ALBERTO SANTOS;0.00
ARNOIA;M08;ALBIN MICHEL;0.00
ARNOIA;F57;ALBUJAIRA;0.00
ARNOIA;564;ALCALA GRUPO EDITORIAL;0.00
ARNOIA;O89;ALDEVARA;0.00
ARNOIA;A24;ALEA;0.00
ARNOIA;Q46;ALEGORIA;0.00
ARNOIA;O73;ALENTIA;0.00
ARNOIA;D35;ALENTO;0.00
ARNOIA;M90;ALETHEIA PORTUGAL;0.00
ARNOIA;F49;ALEVOSIA;0.00
ARNOIA;X13;ALEX;0.00
ARNOIA;J40;ALFA CENTAURO;0.00
ARNOIA;840;ALFA SUR;0.00
ARNOIA;862;ALFABIA;0.00
ARNOIA;441;ALFAGUARA;0.00
ARNOIA;L67;ALFAGUARA;0.00
ARNOIA;Q29;ALFAGUARA PORTUGAL;0.00
ARNOIA;A52;ALFAMA;0.00
ARNOIA;H09;ALFAQUEQUE;0.00
ARNOIA;J22;ALFAR EDICIONES;0.00
ARNOIA;E99;ALFAZETA;0.00
ARNOIA;O95;ALFONSIPOLIS;0.00
ARNOIA;228;ALGABA EDICIONES;0.00
ARNOIA;38;ALGAIDA;0.00
ARNOIA;B85;ALGAR EDITORIAL;0.00
ARNOIA;992;ALGON;0.00
ARNOIA;19;ALHAMBRA;0.00
ARNOIA;155;ALHENA MEDIA;0.00
ARNOIA;B05;ALHUCEMA;0.00
ARNOIA;M34;ALHULIA;0.00
ARNOIA;23;ALIANZA;0.00
ARNOIA;800;ALIENTA;0.00
ARNOIA;A72;ALISIS;0.00
ARNOIA;L97;ALISIS;0.00
ARNOIA;E12;ALJIBE;0.00
ARNOIA;650;ALMA EDIZIONI;0.00
ARNOIA;385;ALMADRABA;0.00
ARNOIA;B38;ALMADRABA;0.00
ARNOIA;J06;ALMED;0.00
ARNOIA;I42;ALMED;0.00
ARNOIA;M75;ALMEDINA EDIÇOES;0.00
ARNOIA;J03;ALMENA;0.00
ARNOIA;E15;ALMENDRO CORDOBA;0.00
ARNOIA;835;ALMUZARA EDITORIAL;0.00
ARNOIA;I97;ALONSO;0.00
ARNOIA;C14;ALPHA;0.00
ARNOIA;154;ALPHA DECAY;0.00
ARNOIA;P32;ALPINO;0.00
ARNOIA;Q01;ALPUERTO EDITORIAL;0.00
ARNOIA;G28;ALQUERIA EDITORIAL;0.00
ARNOIA;H57;ALREVES;0.00
ARNOIA;A37;ALREVES;0.00
ARNOIA;R17;ALTAFULLA;0.00
ARNOIA;G20;ALTAIR;0.00
ARNOIA;L32;ALTAL EDITIONS;0.00
ARNOIA;I71;ALTAMAR EDITORIAL;0.00
ARNOIA;K78;ALTARIA;0.00
ARNOIA;106;ALTAYA;0.00
ARNOIA;316;ALTEA;0.00
ARNOIA;769;ALTERA;0.00
ARNOIA;Q48;ALUPA EDITORIAL;0.00
ARNOIA;737;ALVARELLOS EDITORA;0.00
ARNOIA;H30;AMAG;0.00
ARNOIA;Q77;AMALTEA;0.00
ARNOIA;755;AMARANTO EDITORES, S.L.;0.00
ARNOIA;D67;AMARES;0.00
ARNOIA;E03;AMARGOD;0.00
ARNOIA;E97;AMARU;0.00
ARNOIA;681;AMAT;0.00
ARNOIA;D41;AMAT CATALAN;0.00
ARNOIA;O88;AMATISTA;0.00
ARNOIA;246;AMBAR EDICIONES, S.L;0.00
ARNOIA;G80;AMBIT SERVEIS EDITORIALS;0.00
ARNOIA;E56;AMBOS MUNDOS;0.00
ARNOIA;E87;AMBULANTES;0.00
ARNOIA;941;AMORRORTU;0.00
ARNOIA;M38;AMS DIET CLUB;0.00
ARNOIA;H58;AMSTERDAM;0.00
ARNOIA;A73;AMSTERDAM;0.00
ARNOIA;B34;AMV;0.00
ARNOIA;K68;AMYRIS EDICIONES;0.00
ARNOIA;Y21;AMYRIS EDICIONES;0.00
ARNOIA;447;ANAGRAMA;0.00
ARNOIA;M25;ANALCA EDICIONES;0.00
ARNOIA;J25;ANANDA EDICIONES;0.00
ARNOIA;3;ANAYA;0.00
ARNOIA;D24;ANAYA HARITZA;0.00
ARNOIA;499;ANAYA MULTIMEDIA;0.00
ARNOIA;R02;ANCORA EDITORA;0.00
ARNOIA;J69;ANDANA;0.00
ARNOIA;M47;ANDANTE PROD.CULTURALES;0.00
ARNOIA;E65;ANDAVIRA;0.00
ARNOIA;B43;ANGLE;0.00
ARNOIA;D88;ANGLE;0.00
ARNOIA;740;ANGLO DIDACTICA;0.00
ARNOIA;B86;ANIMALLIBRES, S.L.;0.00
ARNOIA;180;ANNE GEDDES;0.00
ARNOIA;C99;ANTHROPOS;0.00
ARNOIA;538;ANTONI BOSCH;0.00
ARNOIA;D74;ANTONIO BOSCH;0.00
ARNOIA;L74;ANTONIO MACHADO EDITORIAL;0.00
ARNOIA;F13;APIA;0.00
ARNOIA;L24;APILA;0.00
ARNOIA;P45;APLI PAPER;0.00
ARNOIA;A93;ARA IDEES;0.00
ARNOIA;399;ARA LLIBRES;0.00
ARNOIA;A74;ARA LLIBRES;0.00
ARNOIA;820;ARAL;0.00
ARNOIA;I95;ARALIA XXI;0.00
ARNOIA;F14;ARAN;0.00
ARNOIA;M17;ARAÑA EDITORIAL;0.00
ARNOIA;954;ARANZADI;0.00
ARNOIA;G40;ARATRAMA;0.00
ARNOIA;B96;ARAUCARIA;0.00
