Fecha;Ip;Accion;St;Distribuidora;Usuario;Ped.Distrib;Ped.Vips
2015-05-13 23:36:11;127.0.0.1;ENVIO RECEPCION A VIPS;KO;ARNOIA;Super;1881005;
2015-05-13 23:36:10;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ OK;OK;;Super;;
2015-05-13 23:35:41;127.0.0.1;ENVIO RECEPCION A VIPS;KO;ARNOIA;Super;1881005;
2015-05-13 23:35:40;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ OK;OK;;Super;;
2015-05-13 23:33:40;127.0.0.1;ENVIO RECEPCION A VIPS;KO;ARNOIA;Super;1881005;
2015-05-13 23:33:26;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ OK;OK;;Super;;
2015-05-12 00:39:56;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ CON INCIDENCIAS;OK;;Super;;
2015-05-12 00:39:47;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ CON INCIDENCIAS;OK;;Super;;
2015-05-12 00:37:52;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ CON INCIDENCIAS;OK;;Super;;
2015-05-12 00:31:23;127.0.0.1;RECEPCION MERCANCÍA EN BEATRIZ CON INCIDENCIAS;OK;;Super;;
2015-05-11 21:44:08;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;OK;;Super;;
2015-05-11 21:41:16;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:40:14;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:38:45;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;OK;;Super;;
2015-05-11 21:38:01;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;OK;;Super;;
2015-05-11 21:36:10;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;OK;;Super;;
2015-05-11 21:35:18;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:33:33;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:29:56;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:28:11;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:25:29;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:23:28;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 21:22:15;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 20:33:04;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-05-11 20:29:46;127.0.0.1;RECEPCION PEDIDOS PLATAFORMA VIPS;KO;;Super;;
2015-04-30 09:40:15;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-30 09:35:02;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-30 09:33:13;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-30 09:28:22;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-30 09:25:23;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-30 09:22:21;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-30 09:21:14;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-10 12:18:35;212.163.4.237;ENVIO CONFIRMACION PEDIDOS A DISTRIBUIDORA;OK;ARNOIA;Super;1881005;9000500002
2015-04-10 12:18:35;212.163.4.237;ENVIO CONFIRMACION PEDIDOS A DISTRIBUIDORA;OK;ARNOIA;Super;1881005;9000500003
2015-04-10 12:18:34;212.163.4.237;CONFIRMACION PEDIDOS DESDE VIPS;OK;;Super;;
2015-04-10 12:18:34;212.163.4.237;ENVIO CONFIRMACION PEDIDOS A DISTRIBUIDORA;OK;ARNOIA;Super;1881004;9000500001
2015-04-10 12:08:43;217.18.165.80;ENVIO PEDIDO A VIPS;OK;ARNOIA;Administrador;1881005;
2015-04-10 12:08:25;217.18.165.80;RESERVAR EN ARNOIA;OK;ARNOIA;Administrador;1881005;
2015-04-10 10:38:29;217.18.165.80;ENVIO PEDIDO A VIPS;OK;ARNOIA;Administrador;1881004;
2015-04-10 10:37:51;217.18.165.80;RESERVAR EN ARNOIA;OK;ARNOIA;Administrador;1881004;
