"IDCLIENTE";"IDDIRECCION";"NOMBRE";"DIRECCION";"POBLACION";"PROVINCIA";"CODIGO POSTAL";"TELEFONOS";"FAX";"E-MAIL";"PERSONA CONTACTO";"ENVIAR COPIA FACTURA";"FACTURACION INDEPENDIENTE";"AGENCIA"
"00001";984;"AUTO SPORT  ANDALUCIA S. L. (MA)";"Ctra. Azucarera-Intelhorce, 82 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 002519";"952 235194";;"Thais";1;0;
"00001";1225;"AUTO SPORT ANDALUCÍA S. L. (ANT)";"Pol. Indust. Antequera C/Adelfas s/nº";"ANTEQUERA";"Málaga";"29200";"952 706331";"952 704168";;;1;0;
"00001";1228;"AUTO SPORT ANDALUCÍA S. L. (COIN)";"Pol. Indust. Cantarras, Nave 6-A";"COIN";"Málaga";"29100";"952 455027";"952 450511";;;1;0;
"00002";469;"CIAL. NAVARRO HNOS. S. A.";"La Orotava, 4 Polígono San Luis";"MALAGA";"Málaga";"29006";"952 337400";"952 337421";;;1;0;
"00002";1247;"CIAL. NAVARRO HNOS. S. A.";"C/ Moraima, 5";"MALAGA";"Málaga";"29010";"952 173714";"952 274511";;;1;0;
"00002";1249;"CIAL. NAVARRO HNOS. S. A.";"Pol. Las Albarizas C/ Pirita, 33";"MARBELLA";"Málaga";"29600";"952 898484";;;;1;0;
"00002";1265;"CIAL. NAVARRO HNOS. S. A.";"Ciudad Jardin";"MALAGA";"Málaga";;"952 656658";;;;1;0;
"00002";1304;"CIAL. NAVARRO HNOS. S. A.";"Avda. Velazquez, 71 (Bda. La Paz)";"MALAGA";"Málaga";"29004";"952 230600";;;"Melchor";1;0;
"00002";1329;"CIAL. NAVARRO HNOS. S. A.";"Av. Blas Infante, 12";"JEREZ DE LA FRONTERA";"Cádiz";"11401";"956 140401";;;;1;0;
"00003";470;"ENRIQUE MARTIN S. A.";"Bahía Blanca, 19 (Pol. San Luis)";"MALAGA";"Málaga";"29006";"952 322090";"952 322040";;;1;0;
"00004";830;"CECAUTO MLG  S. A.";"Leopoldo Lugones, 26";"MALAGA";"Málaga";"29004";"952 105023";"952 240667";;;1;0;
"00004";1053;"MI RECAMBIO";"Avda. de España, 28 - 30";"CEUTA";"Ceuta";"11701";"956 504747";;;"Pedro";1;0;
"00005";471;"SUM. IND. MATALO S. L.";"París, 1 (Pol. Ind. San Luis)";"MALAGA";"Málaga";"29006";"952 331800";"952 331845";;;1;0;
"00006";876;"EL MOTORISTA MALAGA S. A.";"Avenida de la Aurora, 71";"MALAGA";"Málaga";"29006";"952 313562";"952 042207";"fburgos@motosportnet.com";"Gregorio Moreno";1;0;
"00006";1234;"EL MOTORISTA MALAGA S. A.";"Ctra. Azucarera-Intelhorce, 82";"MALAGA";"Málaga";"29006";"952 240934";"952 240549";;"Pepe Ceballos";1;0;
"00007";1081;"CIAL. MALAGUEÑA DEL RODAMIENTO S. L.";"Parauta, 20 (Polígono La Estrella)";"MALAGA";"Málaga";"29006";"952 366024 - 362660";"952 627186";;;1;0;
"00008";474;"RECAMBIOS Y LUBRICANTES DEL SUR S. L.";"París, 61 (Pol. San Luis)";"MALAGA";"Málaga";"29006";"952 352379";"952 352467";;;1;0;
"00008";880;"RECAMBIOS Y LUBRICANTES DEL SUR S. L.";"Plaza Contratación 39 (Pol. Ind. Pelagatos)";"CHICLANA DE LA FRONTERA";"Cádiz";"11130";"956 531848";"956 533949";;;1;0;
"00008";937;"RECAMBIOS Y LUBRICANTES DEL SUR S. L.";"Pol. Ind. La Azucarera, Parcela 30 y 32";"ANTEQUERA";"Málaga";"29200";"952 840697";"952 846274";;;1;0;
"00008";1037;"RECAMBIOS Y LUBRICANTES DEL SUR S. L.";"Pol. La Ermita  C/ Plata, 38";"MARBELLA";"Málaga";"29600";"952 822372";"952 822567";;;1;0;
"00008";1058;"RECAMBIOS Y LUBRICANTES DEL SUR S. L.";"Pol. La Pañoleta C/Santiago Rusiñol,24";"VELEZ MALAGA";"Málaga";"29700";"952504000";;;;1;0;
"00009";475;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Veracruz, 51 (Pol. Ind. San Luis)";"MALAGA";"Málaga";"29006";"952356518";"952338898";"apostigo@gomezpleguezuelos.com";;1;0;
"00009";847;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Av. Manuel Torres,3 (El Torcal)";"MALAGA";"Málaga";"29003";"952341205";"952359886";;"Francis";1;0;
"00009";848;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Pol. Ind. La Pañoleta s/n";"VELEZ MALAGA";"Málaga";"29700";"952500237";"952558355";;"Juan José Barcelo";1;0;
"00009";849;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Rio Velillos, 1 (Camino Viejo de Coín)";"MIJAS COSTA";"Málaga";"29649";"952588756";"952667108";;"Alvaro Gómez";1;0;
"00009";850;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Pol. Cantarranas, Nave-4";"COIN";"Málaga";"29100";"952455763";"952455021";;;1;0;
"00009";1044;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Avda. Pescia, Edf. Las Ramblas, bajo";"NERJA";"Málaga";"29780";"952527076";;;;1;0;
"00009";1148;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"C/ Miguel Angel Blanco, 7";"FUENTE PIEDRA";"Málaga";"29520";"952736273";"952736270";;"Paco Pinazo";1;0;
"00009";1160;"HNOS. GOMEZ PLEGUEZUELOS S. L.";"Pol. Guadalhorce C/ Gerald Brenan, 52";"MALAGA";"Málaga";"29004";"952240802";"952242173";;"Antonio Villena";1;0;
"00010";846;"AUTO REC. ALCAZABA S. L.";"Gerald Brenan, 52 (Polígono Guadalhorce)";"MALAGA";"Málaga";"29004";"952 240802";"952 240483";;;1;0;
"00010";1005;"AUTO REC. ALCAZABA S. L.";"Casarabonela, 20";"MALAGA";"Málaga";"29006";"952 354215";"952 354091";;;1;0;
"00011";477;"RECAMBIOS Y LUBRICANTES MALAGA S. L.";"Crta. Azucarera-Intelhorce, Nave-17 D";"MALAGA";"Málaga";"29004";"952 105184";;;;1;0;
"00012";478;"INDECO AUTOMOCION EUROPA S. L.";"París, 47 (Pol. Ind. San Luis)";"MALAGA";"Málaga";"29006";"952 343049";"952 322813";;;1;0;
"00013";479;"RAFAEL OLMEDO GARCIA";"Crta. Azucarera-Intelhorce, 29 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 243202";"952 243203";;;1;0;
"00014";480;"AUTO REC. EUROPA S. A.";"Herman Hess, 25 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 173128";"952 247118";;;1;0;
"00014";938;"AUTO REC. EUROPA S. A.";"Cuarzo, 6 (Polígono La Ermita)";"MARBELLA";"Málaga";"29600";"952 824146";"952 898022";;;1;0;
"00014";1299;"AUTO REC. EUROPA S. A.";"Gabriel Celaya, 15 Pol La Campana  Nueva Andalucía";"SAN PEDRO DE ALCANTARA";"Málaga";"29660";"951 137264";"951 319316";"sanpedro@recambioseuropa.com";"Salvador González";1;0;
"00015";481;"AUTO REC. MALAGA S. L.";"Maracay, 36 (Pol. San Luis)";"MALAGA";"Málaga";"29006";"952 314831";"952324806";;;1;0;
"00016";482;"COOP. ANDALUZA DE FERRETEROS S. C. A";"César Vallejo, 27 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 176081";"952 235752";;;1;0;
"00016";857;"FERRETERIA LA CADENA, S. L. (SOCIO 153)";"Fuente Alamo, 33";"MONTILLA";"Córdoba";"14550";"957 656143";"957 656706";;"SOCIO Nº 153";1;0;
"00016";858;"ALQUILERES LEFLET, S. L.";"Pol. Indust. La Estrella, Parcela H-18-19";"CORIA DEL RIO";"Sevilla";"41100";"954 772903";;;"Emilio Cordero SOCIO Nº  210";1;0;
"00016";1014;"FERRETERÍA PADILLA (SOCIO 105)";"C/ Real, 12";"CAMPILLOS";"Málaga";"29320";"952 722092";;;;1;0;
"00016";1026;"FERRET. ROSON Y RODRIGUEZ (SOCIO 240)";"Pol. Ind. La Rosa - C/ Industria,31";"CHAUCHINA";"Granada";"18330";"958 446847";"958 446847";"roson@coanfe.com";;1;0;
"00016";1107;"FERRETERIA SILVERIO(SOCIO 247)";"Calvario, 28";"BOLLULLOS DE LA MITACION";"Sevilla";"41110";;;;;1;0;
"00016";1115;"FERRETERIA MONTAÑO (SOCIO 279)";"Antequera, 8";"HERRERA";"Sevilla";"41567";"954 013239";"954 013239";"info@ferreteriamontano.com";;1;0;
"00016";1122;"FERRETERIA PIQUERAS";"Avda. de los Angeles, 51";"LOJA";"Granada";"18300";;;;;1;0;
"00016";1198;"SUMEYCAR S. L. (SOCIO 294)";"Av. Maria Guerrero, 100 Local-9";"LA LINEA DE LA CONCEPCION";"Cádiz";"11300";;;;;1;0;
"00016";1212;"JUAN MARQUEZ DEL RIO S. L. (SOCIO 188)";"Luis de Armiñan, 103";"GAUCIN";"Málaga";"29480";"952151358";"952151168";"info@juanmarquezdelrio.es";;1;0;
"00016";1215;"FERRETERIA FAHALA S. L. L.";"Pol.la Rosa C/ Rio Guadalmedina, P-77-78";"ALHAURIN EL GRANDE";"Málaga";"29120";;;;;1;0;
"00016";1226;"TRANSPORTES RAMAJO 2003 S. L.";"Calvario, 185";"AGUILAR DE LA FRONTERA";"Córdoba";"14920";;;;;1;0;
"00016";1274;"FERRET. CRUZ BLANCA";"Av.de la Estación, Ed.San Fernando, 6";"ANTEQUERA";"Málaga";"29200";;;;;1;0;
"00016";1308;"GAROLCAMPO S L (SOCIO 326)";"Pol.Ind. Matallana II C/ Agricultura, 6";"LORA DEL RIO";"Sevilla";"41440";"678611261";;;"Eduardo García";1;0;
"00017";483;"MAYFERSUR S. L.";"Escritora Dolores G. de Cádiz, 9 (P. I. Trevenez)";"MALAGA";"Málaga";"29196";"952 241313";"952 246055";;;1;0;
"00018";484;"TRANSFORMADOS Y AUTOMATISMOS S. L.";"César Vallejo, 6 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 241313";"952 246055";;;1;0;
"00019";1013;"ALIAUTO S. A.";"Caleta de Velez, 10 (Pol. Guadalhorce)";"MALAGA";"Málaga";"29004";"952 105695";"952 239272";;;1;0;
"00020";1045;"TORNILLERIA MALAGUEÑA S. L.";"Avda. Muelle Heredia";"MALAGA";"Málaga";"29001";"952 220876";"952 213353";;;1;0;
"00021";486;"RODAJES MALAGA S. A.";"Bahia Blanca, 19 (Pol. El Viso)";"MALAGA";"Málaga";"29006";"952 318942";;;;1;0;
"00022";487;"HERRAMIENTAS PEREZ S. L.";"Diderot, 9 Nave 18-B (Polígono Guadalhorce)";"MALAGA";"Málaga";"29004";"952 231637";"952 243632";;;1;0;
"00023";488;"ANDALUZA DE REPUESTOS S. L.";"Quilla, 4 (Pol. El Viso)";"MALAGA";"Málaga";"29006";"952 333375";"952 347952";;;1;0;
"00024";489;"MALAGUEÑA DE SOLDADURA S. L.";"Crta. Azucarera-Intelhorce, 27";"MALAGA";"Málaga";"29004";"952 242402";"952 241268";;;1;0;
"00025";490;"ELECTRO REC. CASADO S. L.";"Avda. Ortega y Gasset, 202 Pol. Alameda";"MALAGA";"Málaga";"29006";;;;;1;0;
"00026";1043;"TOOLRACK S. L.";"C/ Sta. Isabel Nave C5 (Pol. Ind. Fase 4)";"ALHAURIN DE LA TORRE";"Malaga";"29130";"647 650491";"952 299194";;;1;0;
"00026";1099;"TOOLRACK S. L.";" Paseo de la Sierra, 48";"MALAGA";"Málaga";"29018";"952 299194";"952 299194";;;1;0;
