"IDFIRMA";"IDFAMILIA";"IDCONDICION";"DESCUENTO1";"DESCUENTO2";"COMISION";"FORMA_PAGO"
"01";"01";0;40.00;0.00;7.00;
"01";"01";1;35.00;0.00;7.00;
"01";"01";2;45.00;0.00;7.00;
"01";"02";0;30.00;0.00;7.00;
"01";"02";1;35.00;0.00;7.00;
"01";"02";2;40.00;0.00;7.00;
"01";"02";3;45.00;0.00;7.00;
"01";"03";0;30.00;0.00;7.00;
"01";"03";1;35.00;0.00;7.00;
"01";"03";2;40.00;0.00;7.00;
"01";"03";3;45.00;0.00;7.00;
"01";"03";4;50.00;0.00;7.00;
"01";"03";5;43.00;0.00;7.00;
"01";"04";0;0.00;0.00;7.00;
"01";"04";1;20.00;0.00;7.00;
"01";"05";0;0.00;0.00;7.00;
"01";"06";0;0.00;0.00;7.00;
"01";"07";0;30.00;0.00;7.00;
"01";"07";1;35.00;0.00;7.00;
"01";"07";2;40.00;0.00;7.00;
"01";"07";3;45.00;0.00;7.00;
"01";"07";4;50.00;0.00;7.00;
"02";"01";0;50.00;0.00;6.00;
"02";"02";0;50.00;0.00;6.00;
"02";"03";0;50.00;0.00;6.00;
"02";"04";0;50.00;0.00;6.00;
"02";"05";0;50.00;0.00;6.00;
"02";"06";0;50.00;0.00;6.00;
"02";"07";0;50.00;0.00;6.00;
"02";"08";0;50.00;0.00;6.00;
"02";"09";0;0.00;0.00;6.00;
"02";"09";1;20.00;0.00;6.00;
"02";"10";0;0.00;0.00;6.00;
"02";"11";0;0.00;0.00;6.00;
"02";"12";0;50.00;0.00;6.00;
"02";"14";0;50.00;0.00;6.00;
"03";"01";0;0.00;0.00;5.00;
"03";"02";0;0.00;0.00;5.00;
"03";"03";0;35.00;0.00;5.00;
"03";"03";1;40.00;0.00;5.00;
"03";"03";2;45.00;0.00;5.00;
"03";"03";3;50.00;0.00;5.00;
"03";"03";4;48.00;0.00;5.00;
"03";"04";0;35.00;0.00;5.00;
"03";"04";1;40.00;0.00;5.00;
"03";"04";2;45.00;0.00;5.00;
"03";"04";3;50.00;0.00;5.00;
"03";"05";0;35.00;0.00;5.00;
"03";"05";1;40.00;0.00;5.00;
"03";"06";0;25.00;0.00;5.00;
"03";"06";1;30.00;0.00;5.00;
"03";"07";0;50.00;0.00;5.00;
"05";"01";0;35.00;0.00;5.00;
"05";"01";1;40.00;0.00;5.00;
"05";"01";2;45.00;0.00;5.00;
"05";"01";3;30.00;0.00;5.00;
"05";"01";4;50.00;0.00;5.00;
"05";"01";5;55.00;5.00;5.00;
"05";"01";6;47.00;0.00;5.00;
"05";"01";7;46.00;0.00;5.00;
"05";"01";8;48.00;0.00;5.00;
"05";"01";9;55.00;5.00;5.00;
"05";"01";10;50.00;5.00;5.00;
"05";"01";11;0.00;0.00;2.00;
"05";"02";0;0.00;0.00;5.00;
"05";"03";0;35.00;0.00;5.00;
"05";"03";1;40.00;0.00;5.00;
"05";"03";2;45.00;0.00;5.00;
"05";"03";3;30.00;0.00;5.00;
"05";"03";4;50.00;0.00;5.00;
"05";"03";5;47.00;0.00;5.00;
"05";"03";6;46.00;0.00;5.00;
"05";"03";7;48.00;0.00;5.00;
"05";"03";8;0.00;0.00;2.00;
"05";"06";0;0.00;0.00;5.00;
"05";"07";0;0.00;0.00;5.00;
"06";"000";0;0.00;0.00;5.00;
"06";"001";0;0.00;0.00;5.00;
"06";"10";0;0.00;0.00;5.00;
"06";"10R";0;60.00;0.00;5.00;
"06";"10R";1;63.00;0.00;5.00;
"06";"10R";2;65.00;0.00;5.00;
"06";"10R";3;70.00;0.00;5.00;
"06";"10R";4;67.00;10.00;5.00;
"06";"10R";5;67.00;0.00;5.00;
"06";"20K";0;60.00;0.00;5.00;
"06";"20K";1;63.00;0.00;5.00;
"06";"20K";2;65.00;0.00;5.00;
"06";"20K";3;70.00;0.00;5.00;
"06";"20K";4;67.00;10.00;5.00;
"06";"20K";5;0.00;0.00;5.00;
"06";"21K";0;60.00;0.00;5.00;
"06";"21K";1;63.00;0.00;5.00;
"06";"21K";2;65.00;0.00;5.00;
"06";"21K";3;70.00;0.00;5.00;
"06";"21K";4;67.00;10.00;5.00;
"06";"21K";5;67.00;0.00;5.00;
"06";"30F";0;65.00;0.00;5.00;
"06";"30F";1;70.00;0.00;5.00;
"06";"30F";2;72.00;0.00;5.00;
"06";"30F";3;75.00;0.00;5.00;
"06";"31F";0;50.00;0.00;5.00;
"06";"31F";1;55.00;0.00;5.00;
"06";"31F";2;59.50;0.00;5.00;
"07";"01";0;25.00;0.00;5.00;
"07";"01";1;30.00;0.00;5.00;
"07";"01";2;35.00;0.00;5.00;
"07";"01";3;37.00;0.00;5.00;
"07";"01";4;40.00;0.00;5.00;
"07";"02";0;25.00;0.00;5.00;
"07";"02";1;30.00;0.00;5.00;
"07";"02";2;35.00;0.00;5.00;
"07";"02";3;37.00;0.00;5.00;
"07";"02";4;40.00;0.00;5.00;
"07";"03";0;25.00;0.00;5.00;
"07";"03";1;30.00;0.00;5.00;
"07";"03";2;35.00;0.00;5.00;
"07";"03";3;37.00;0.00;5.00;
"07";"03";4;40.00;0.00;5.00;
"07";"04";0;25.00;0.00;5.00;
"07";"04";1;30.00;0.00;5.00;
"07";"04";2;35.00;0.00;5.00;
"07";"04";3;37.00;0.00;5.00;
"07";"04";4;40.00;0.00;5.00;
"07";"05";0;25.00;0.00;5.00;
"07";"05";1;30.00;0.00;5.00;
"07";"05";2;35.00;0.00;5.00;
"07";"05";3;37.00;0.00;5.00;
"07";"05";4;40.00;0.00;5.00;
"07";"07";0;25.00;0.00;5.00;
"07";"07";1;30.00;0.00;5.00;
"07";"07";2;35.00;0.00;5.00;
"07";"07";3;37.00;0.00;5.00;
"07";"07";4;40.00;0.00;5.00;
"07";"08";0;25.00;0.00;5.00;
"07";"08";1;30.00;0.00;5.00;
"07";"08";2;35.00;0.00;5.00;
"07";"08";3;37.00;0.00;5.00;
"07";"08";4;40.00;0.00;5.00;
"07";"12";0;25.00;0.00;5.00;
"07";"12";1;30.00;0.00;5.00;
"07";"12";2;35.00;0.00;5.00;
"07";"12";3;37.00;0.00;5.00;
"07";"12";4;40.00;0.00;5.00;
"07";"16";0;25.00;0.00;5.00;
"07";"16";1;30.00;0.00;5.00;
"07";"16";2;35.00;0.00;5.00;
"07";"16";3;37.00;0.00;5.00;
"07";"16";4;40.00;0.00;5.00;
"07";"22";0;25.00;0.00;5.00;
"07";"22";1;30.00;0.00;5.00;
"07";"22";2;35.00;0.00;5.00;
"07";"22";3;37.00;0.00;5.00;
"07";"22";4;40.00;0.00;5.00;
"07";"23";0;25.00;0.00;5.00;
"07";"23";1;30.00;0.00;5.00;
"07";"23";2;35.00;0.00;5.00;
"07";"23";3;37.00;0.00;5.00;
"07";"23";4;40.00;0.00;5.00;
"07";"24";0;25.00;0.00;5.00;
"07";"24";1;30.00;0.00;5.00;
"07";"24";2;35.00;0.00;5.00;
"07";"24";3;37.00;0.00;5.00;
"07";"24";4;40.00;0.00;5.00;
"07";"30";0;25.00;0.00;5.00;
"07";"30";1;30.00;0.00;5.00;
"07";"30";2;35.00;0.00;5.00;
"07";"30";3;37.00;0.00;5.00;
"07";"30";4;40.00;0.00;5.00;
"07";"31";0;25.00;0.00;5.00;
"07";"31";1;30.00;0.00;5.00;
"07";"31";2;35.00;0.00;5.00;
"07";"31";3;37.00;0.00;5.00;
"07";"31";4;40.00;0.00;5.00;
"07";"32";0;0.00;0.00;5.00;
"07";"33";0;0.00;0.00;5.00;
"08";"01";0;40.00;0.00;5.00;
"08";"01";1;40.00;5.00;5.00;
"08";"01";2;40.00;10.00;5.00;
"08";"01";3;40.00;15.00;5.00;
"08";"01";4;40.00;20.00;5.00;
"08";"01";5;40.00;7.00;5.00;
"08";"01";6;48.00;0.00;5.00;
"08";"02";0;35.00;0.00;5.00;
"08";"02";1;35.00;5.00;5.00;
"08";"02";2;35.00;7.00;5.00;
"08";"02";3;35.00;10.00;5.00;
"08";"02";4;35.00;15.00;5.00;
"08";"02";5;35.00;13.00;5.00;
"08";"03";0;35.00;0.00;5.00;
"08";"03";1;35.00;5.00;5.00;
"08";"03";2;35.00;10.00;5.00;
"08";"03";3;35.00;7.00;5.00;
"08";"03";4;35.00;13.00;5.00;
"08";"04";0;35.00;0.00;5.00;
"08";"04";1;35.00;5.00;5.00;
"08";"04";2;35.00;10.00;5.00;
"08";"04";3;35.00;7.00;5.00;
"08";"04";4;35.00;13.00;5.00;
"08";"05";0;35.00;0.00;5.00;
"08";"05";1;35.00;5.00;5.00;
"08";"05";2;35.00;10.00;5.00;
"08";"05";3;35.00;7.00;5.00;
"08";"06";0;0.00;0.00;5.00;
"08";"07";0;0.00;0.00;5.00;
"08";"08";0;0.00;0.00;5.00;
"08";"09";0;30.00;0.00;5.00;
"09";"01";0;15.00;0.00;5.00;
"09";"01";1;20.00;0.00;5.00;
"09";"01";2;20.00;5.00;5.00;
"09";"01";3;20.00;10.00;5.00;
"09";"01";4;30.00;0.00;5.00;
"09";"01";5;25.00;0.00;5.00;
"09";"01";6;35.00;0.00;5.00;
"09";"01";7;48.00;0.00;5.00;
"09";"01";8;42.00;0.00;5.00;
"09";"01";9;45.00;0.00;5.00;
"09";"01";10;41.00;0.00;5.00;
"09";"01";11;50.00;0.00;5.00;
"09";"01";12;46.00;0.00;5.00;
"09";"01";13;47.00;0.00;5.00;
"09";"01";14;40.00;0.00;5.00;
"09";"01";15;0.00;0.00;2.00;
"09";"02";0;15.00;0.00;5.00;
"09";"02";1;20.00;0.00;5.00;
"09";"02";2;20.00;5.00;5.00;
"09";"02";3;20.00;10.00;5.00;
"09";"02";4;30.00;0.00;5.00;
"09";"02";5;25.00;0.00;5.00;
"09";"02";6;41.00;0.00;5.00;
"09";"02";7;42.00;0.00;5.00;
"09";"02";8;35.00;0.00;5.00;
"09";"02";9;50.00;0.00;5.00;
"09";"02";10;45.00;0.00;5.00;
"09";"02";11;48.00;0.00;5.00;
"09";"02";12;46.00;0.00;5.00;
"09";"02";13;40.00;0.00;5.00;
"09";"02";14;0.00;0.00;2.00;
"09";"03";0;0.00;0.00;5.00;
"09";"03";1;0.00;0.00;5.00;
"09";"03";2;0.00;0.00;5.00;
"09";"03";3;0.00;0.00;5.00;
"09";"03";4;0.00;0.00;5.00;
"09";"03";5;0.00;0.00;5.00;
"09";"03";6;0.00;0.00;5.00;
"09";"03";7;0.00;0.00;5.00;
"09";"03";8;0.00;0.00;5.00;
"09";"03";9;0.00;0.00;5.00;
"09";"03";10;0.00;0.00;5.00;
"09";"03";11;0.00;0.00;5.00;
"09";"03";12;0.00;0.00;5.00;
"09";"03";13;0.00;0.00;2.00;
"09";"04";0;15.00;0.00;5.00;
"09";"04";1;20.00;0.00;5.00;
"09";"04";2;20.00;5.00;5.00;
"09";"04";3;20.00;10.00;5.00;
"09";"04";4;30.00;0.00;5.00;
"09";"04";5;0.00;0.00;5.00;
"09";"04";6;35.00;0.00;5.00;
"09";"05";0;15.00;0.00;5.00;
"09";"05";1;20.00;0.00;5.00;
"09";"05";2;20.00;5.00;5.00;
"09";"05";3;20.00;10.00;5.00;
"09";"05";4;30.00;0.00;5.00;
"09";"05";5;25.00;0.00;5.00;
"09";"05";6;41.00;0.00;5.00;
"09";"05";7;42.00;0.00;5.00;
"09";"05";8;35.00;0.00;5.00;
"09";"05";9;45.00;0.00;5.00;
"09";"05";10;48.00;2.00;5.00;
"09";"05";11;46.00;0.00;5.00;
"09";"05";12;40.00;0.00;5.00;
"09";"05";13;0.00;0.00;2.00;
"09";"06";0;15.00;0.00;5.00;
"09";"06";1;20.00;0.00;5.00;
"09";"06";2;20.00;5.00;5.00;
"09";"06";3;20.00;10.00;5.00;
"09";"06";4;30.00;0.00;5.00;
"09";"06";5;25.00;0.00;5.00;
"09";"06";6;41.00;0.00;5.00;
"09";"06";7;42.00;0.00;5.00;
"09";"06";8;35.00;0.00;5.00;
"09";"06";9;45.00;0.00;5.00;
"09";"06";10;50.00;0.00;5.00;
"09";"06";11;48.00;0.00;5.00;
"09";"06";12;46.00;0.00;5.00;
"09";"06";13;40.00;0.00;5.00;
"09";"06";14;0.00;0.00;2.00;
"09";"07";0;0.00;0.00;5.00;
"09";"08";0;0.00;0.00;5.00;
"09";"09";0;0.00;0.00;5.00;
"09";"10";0;0.00;0.00;5.00;
"09";"11";0;35.00;0.00;5.00;
"09";"11";1;42.00;0.00;5.00;
"09";"11";2;45.00;0.00;5.00;
"09";"11";3;48.00;0.00;5.00;
"09";"11";4;50.00;0.00;5.00;
"09";"11";5;50.00;5.00;5.00;
"09";"11";6;40.00;0.00;5.00;
"09";"11";7;52.00;0.00;5.00;
"09";"11";8;46.00;0.00;5.00;
"09";"11";9;47.00;0.00;5.00;
"09";"11";10;38.00;0.00;5.00;
"09";"11";11;30.00;0.00;5.00;
"09";"11";12;0.00;0.00;2.00;
"09";"12";0;0.00;0.00;5.00;
"09";"13";0;0.00;0.00;5.00;
"09";"13";1;0.00;0.00;2.00;
"09";"14";0;25.00;0.00;5.00;
"09";"14";1;0.00;0.00;2.00;
"09";"15";0;0.00;0.00;5.00;
"09";"16";0;0.00;0.00;5.00;
"09";"16";1;0.00;0.00;2.00;
"09";"17";0;15.00;0.00;5.00;
"09";"17";1;20.00;0.00;5.00;
"09";"17";2;20.00;5.00;5.00;
"09";"17";3;20.00;10.00;5.00;
"09";"17";4;30.00;0.00;5.00;
"09";"17";5;25.00;0.00;5.00;
"09";"17";6;35.00;0.00;5.00;
"09";"17";7;48.00;0.00;5.00;
"09";"17";8;42.00;0.00;5.00;
"09";"17";9;45.00;0.00;5.00;
"09";"17";10;41.00;0.00;5.00;
"09";"17";11;50.00;0.00;5.00;
"09";"17";12;46.00;0.00;5.00;
"09";"17";13;47.00;0.00;5.00;
"09";"17";14;40.00;0.00;5.00;
"09";"17";15;0.00;0.00;2.00;
"09";"18";0;40.00;0.00;5.00;
"10";"01";0;40.00;0.00;5.00;
"10";"01";1;45.00;0.00;5.00;
"10";"01";2;48.00;0.00;5.00;
"10";"01";3;50.00;0.00;3.00;
"10";"02";0;45.00;0.00;5.00;
"10";"02";1;40.00;0.00;5.00;
"10";"03";0;40.00;0.00;5.00;
"10";"03";1;45.00;0.00;5.00;
"10";"03";2;48.00;0.00;5.00;
"10";"03";3;50.00;0.00;3.00;
"10";"04";0;0.00;0.00;5.00;
"10";"05";0;0.00;0.00;5.00;
"10";"06";0;45.00;0.00;5.00;
"11";"00";0;0.00;0.00;4.00;
"11";"00";1;0.00;0.00;2.00;
"11";"01";0;69.00;0.00;4.00;
"11";"01";1;76.75;0.00;4.00;
"11";"01";2;73.65;0.00;4.00;
"11";"01";3;69.00;15.00;4.00;
"11";"02";0;68.00;0.00;4.00;
"11";"02";1;76.00;0.00;4.00;
"11";"02";2;72.80;0.00;4.00;
"11";"03";0;72.00;0.00;4.00;
"11";"04";0;55.00;0.00;4.00;
"11";"05";0;55.00;0.00;4.00;
"11";"05";1;68.50;0.00;4.00;
"11";"05";2;64.30;0.00;4.00;
"11";"06";0;56.00;0.00;4.00;
"11";"07";0;55.00;0.00;4.00;
"11";"08";0;55.00;0.00;4.00;
"11";"09";0;55.00;0.00;4.00;
"11";"10";0;56.00;0.00;4.00;
"11";"11";0;56.00;0.00;4.00;
"11";"12";0;0.00;0.00;4.00;
"11";"13";0;20.00;0.00;4.00;
"12";"01";0;30.00;0.00;9.00;
"12";"01";1;30.00;5.00;9.00;
"12";"02";0;30.00;0.00;9.00;
"12";"02";1;30.00;5.00;9.00;
"12";"03";0;0.00;0.00;9.00;
"12";"04";0;0.00;0.00;9.00;
"14";"01";0;30.00;0.00;10.00;
"14";"01";1;35.00;0.00;10.00;
"14";"01";2;35.00;4.00;7.00;
"14";"01";3;40.00;0.00;7.00;
"14";"01";4;45.00;0.00;5.00;
"14";"01";5;50.00;0.00;5.00;
"14";"02";0;30.00;0.00;10.00;
"14";"03";0;0.00;0.00;5.00;
"14";"04";0;0.00;0.00;5.00;
"14";"06";0;30.00;0.00;10.00;
"14";"06";1;35.00;0.00;10.00;
"14";"06";2;35.00;4.00;7.00;
"14";"06";3;40.00;0.00;7.00;
"14";"06";4;45.00;0.00;5.00;
"14";"06";5;50.00;0.00;5.00;
"15";"01";0;0.00;0.00;6.00;
"15";"02";0;0.00;0.00;6.00;
"15";"03";0;0.00;2.50;6.00;
"15";"04";0;0.00;0.00;5.00;
"15";"05";0;0.00;0.00;6.00;
"15";"06";0;0.00;0.00;6.00;
"16";"01";0;20.00;0.00;5.00;
"16";"01";1;15.00;0.00;5.00;
"16";"01";2;10.00;0.00;5.00;
"16";"01";3;5.00;0.00;5.00;
"16";"01";4;0.00;0.00;5.00;
"16";"02";0;20.00;0.00;5.00;
"16";"03";0;20.00;0.00;5.00;
"16";"04";0;0.00;0.00;5.00;
"16";"07";0;0.00;0.00;6.00;
"16";"08";0;0.00;0.00;6.00;
"16";"09";0;0.00;0.00;5.00;
"17";"01";0;0.00;0.00;3.50;
"17";"02";0;0.00;0.00;3.50;
"17";"03";0;0.00;0.00;3.50;
"17";"04";0;0.00;0.00;3.50;
"17";"05";0;0.00;0.00;3.50;
"17";"06";0;0.00;0.00;3.50;
"17";"07";0;0.00;0.00;3.50;
"17";"08";0;0.00;0.00;3.50;
"17";"09";0;0.00;0.00;3.50;
"17";"10";0;0.00;0.00;3.50;
"17";"11";0;0.00;0.00;5.00;
"17";"12";0;0.00;0.00;3.50;
"17";"14";0;0.00;0.00;3.50;
"17";"15";0;0.00;0.00;3.50;
"18";"01";0;60.00;0.00;5.00;
"18";"01";1;62.00;0.00;5.00;
"18";"01";2;64.00;0.00;5.00;
"18";"01";3;67.00;0.00;5.00;
