"IDENTRADA";"IDLINEA";"IDFIRMA";"IDFAMILIA";"IDARTICULO";"DESCRIPCION";"UNIDADES";"PRECIO";"IMPORTE"
1;1;"01";"03";"CVT-2";"CURVADORAS DE TUBOS";1.00;770.00 А;770.00 А
1;2;"01";"01";"MG-40";"GATO BOTELLA  40 TNS.";2.00;400.78 А;801.56 А
1;3;"01";"01";"MG-30";"GATO BOTELLA  30 TNS.";5.00;265.63 А;1328.15 А
1;4;"01";"01";"MG-30M";"GATO BOTELLA 30 TNS. CON MAN”METRO";1.00;334.40 А;334.40 А
1;5;"01";"01";"MG-25";"GATO BOTELLA  25 TNS.";6.00;227.83 А;1366.98 А
1;6;"01";"01";"MG-20";"GATO BOTELLA  20 TNS.";3.00;185.94 А;557.82 А
1;7;"01";"01";"MG-20-M";"GATO BOTELLA 20 TNS. (MANOMETRO)";1.00;251.40 А;251.40 А
1;8;"01";"01";"MGT-20";"GATO BOTELLA  20 TNS. TELESC”PICO";1.00;539.55 А;539.55 А
1;9;"01";"01";"MG-15";"GATO BOTELLA  15 TNS.";11.00;129.89 А;1428.79 А
1;10;"01";"01";"MG-12";"GATO BOTELLA  12 TNS.";5.00;116.98 А;584.90 А
1;11;"01";"01";"MGT-12";"GATO BOTELLA  12 TNS. TELESC”PICO";1.00;312.84 А;312.84 А
1;12;"01";"01";"MG-10";"GATO BOTELLA  10 TNS.";7.00;104.01 А;728.07 А
1;13;"01";"01";"MGS-10";"GATO BOTELLA 10 TNS.";1.00;123.32 А;123.32 А
1;14;"01";"01";"MG-8";"GATO BOTELLA  08 TNS.";6.00;94.91 А;569.46 А
1;15;"01";"01";"MGT-8";"GATO BOTELLA  8 TNS. TELESC”PICO";1.00;267.99 А;267.99 А
1;16;"01";"01";"MG-5";"GATO BOTELLA  05 TNS.";6.00;83.23 А;499.38 А
1;17;"01";"01";"MGT-5";"GATO BOTELLA  5 TNS. TELESC”PICO";2.00;247.99 А;495.98 А
1;18;"01";"01";"MG-5-EM";"GATO BOTELLA  5 TNS.";2.00;86.26 А;172.52 А
1;19;"01";"01";"MGS-5";"GATO BOTELLA  5 TNS.";3.00;96.86 А;290.58 А
1;20;"01";"01";"MG-3";"GATO BOTELLA  03 TNS.";8.00;68.13 А;545.04 А
1;21;"01";"01";"MG-3-EM";"GATO BOTELLA  3 TNS.";2.00;79.01 А;158.02 А
1;22;"01";"01";"MG-2";"GATO BOTELLA  02 TNS.";6.00;59.00 А;354.00 А
1;23;"01";"01";"MGT-2";"GATO BOTELLA   2 TNS. TELESC”PICO";6.00;104.01 А;624.06 А
1;24;"01";"01";"MGT-2EM";"GATO BOTELLA  2 TNS. TELESC”PICO";2.00;114.63 А;229.26 А
1;25;"01";"01";"MGT-2MI";"GATO BOTELLA  2 TNS.  TELESC”PICO";2.00;115.17 А;230.34 А
1;26;"01";"01";"MG-2L";"GATO BOTELLA  2 TNS.";3.00;104.76 А;314.28 А
1;27;"01";"02";"TJ-1,5A";"GATO CARRETILLA 1,5 TNS.";2.00;300.34 А;600.68 А
1;28;"01";"04";"B-005";"BOINA COMPLETA TJ-1,5";5.00;5.71 А;28.55 А
1;29;"01";"02";"TJ-2A";"GATO CARRETILLA 2 TNS.";5.00;379.97 А;1899.85 А
1;30;"01";"02";"TJB-2A";"GATO CARRETILLA ESPECIAL (ALTURA REDUCIDA)";1.00;395.20 А;395.20 А
1;31;"01";"02";"TJ-3A";"GATO CARRETILLA 3 TNS.";1.00;515.51 А;515.51 А
1;32;"01";"02";"FMG-300A";"GATO DE FOSO 300 KG.";3.00;244.90 А;734.70 А
1;33;"01";"02";"MGG-500";"HIDRЅULICO GRUA NC-5/NC-10/FC-5";2.00;243.30 А;486.60 А
1;34;"01";"02";"MGG-1000";"HIDRЅULICO GRUA FC-10";2.00;303.59 А;607.18 А
1;35;"01";"02";"MGG-1500";"HIDRЅULICO GRUA NC-15/NC-20";1.00;402.20 А;402.20 А
1;36;"01";"02";"MGG-2000";"HIDRЅULICO GRUA FC-20";2.00;438.94 А;877.88 А
1;37;"01";"02";"FC-10-A";"GRUA PLEGABLE 1000 KG";1.00;766.53 А;766.53 А
1;38;"01";"02";"CC-5-B";"CILINDRO  SIMPLE EFECTO 5 TNS. LARGO";3.00;124.89 А;374.67 А
1;39;"01";"02";"CC-10-A";"CILINDRO 10 TNS. CORTO";2.00;159.58 А;319.16 А
1;40;"01";"02";"CC-10-B";"CILINDRO 10 TNS LARGO";2.00;154.39 А;308.78 А
1;41;"01";"02";"CT-10";"CILINDRO TRACCION  10 TNS.";1.00;404.35 А;404.35 А
1;42;"01";"02";"SH-1";"CILINDRO EXPANSION 1 TNS.";1.00;111.57 А;111.57 А
1;43;"01";"02";"CM-30";"CILINDRO PRENSA KCK-30A / KP-30A / KPD-30A";2.00;251.58 А;503.16 А
1;44;"01";"02";"MGNT-14C";"GATO OLEONEUMATICO 14/25 T";1.00;1365.74 А;1365.74 А
1;45;"01";"02";"GC-5-S";"GATO CARROCERO 5 TNS.";2.00;541.83 А;1083.66 А
1;46;"01";"02";"GC-10-S";"GATO CARROCERO 10 TNS.";3.00;544.73 А;1634.19 А
1;47;"01";"03";"CS-50-B";"CILINDRO 50 TNS.";1.00;857.26 А;857.26 А
1;48;"01";"02";"BM-04";"BOMBA MANUAL 700 KG/CM2";3.00;141.57 А;424.71 А
1;49;"01";"03";"BM-1";"BOMBA MANUAL";1.00;170.30 А;170.30 А
1;50;"01";"02";"BMP-1";"BOMBA PEDAL SIMPLE EFECTO 700 KG/CM2";1.00;198.11 А;198.11 А
1;51;"01";"02";"NS-1";"BOMBA OLEONEUMATICA SIMPLE EFECTO";1.00;356.34 А;356.34 А
1;52;"01";"02";"S-2";"SOPORTE";6.00;21.53 А;129.18 А
1;53;"01";"03";"MAP-1,5";"MANGUERA 1,5 m";4.00;61.01 А;244.04 А
1;54;"01";"03";"MAP-3";"MANGUERA 3 m";1.00;104.32 А;104.32 А
1;55;"01";"02";"A-5541";"MANGUERA CON ECHUFE MACHO NЇ 3";6.00;64.47 А;386.82 А
1;56;"01";"03";"A-5506-H";"ENCHUFE RAPIDO HEMBRA";10.00;17.03 А;170.30 А
1;57;"01";"03";"A-5506-M";"ENCHUFE RAPIDO MACHO";10.00;13.75 А;137.50 А
1;58;"01";"03";"A-5507-H";"ENCHUFE FLUJO ELEVADO HEMBRA";3.00;23.56 А;70.68 А
1;59;"01";"03";"A-5507-M";"ENCHUFE FLUJO ELEVADO MACHO";3.00;18.43 А;55.29 А
1;60;"01";"02";"A-5535";"BIDON ACEITE 2 LTS.";3.00;15.10 А;45.30 А
1;61;"01";"02";"A-5133";"TUBO GC-5 NЇ 5";2.00;47.13 А;94.26 А
1;62;"01";"02";"A-5134";"TUBO GC-5 NЇ 6";2.00;33.82 А;67.64 А
1;63;"01";"02";"A-5135";"TUBO GC-5 NЇ 7";1.00;19.66 А;19.66 А
1;64;"01";"02";"A-5035";"TUBO GC-10 NЇ 7";1.00;23.03 А;23.03 А
