"IDENTRADA";"FECHA";"DOCUMENTO";"IDALMACEN";"IDFIRMA";"OBSERVACIONES";"RECEPCIONADO"
73;11/12/2003 0:00:00;"ALBARAN Nº 61405";"1";"01";;1
74;22/12/2003 0:00:00;"DEVOLUCION";"1";"01";"DEVUELTO POR CECAUTO SUR";1
75;22/12/2003 0:00:00;"TRASPASO 253";"4";"09";;1
76;22/12/2003 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR CIAL. NAVARRO HNOS. (NOTA DE ENTREGA Nº 3128)";1
77;2/1/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTO POR CIAL. NAVARRO HNOS (NOTA DE ENTREGA Nº 3033)";1
78;29/1/2004 0:00:00;"ALBARAN Nº 63005";"1";"01";;1
79;29/1/2004 0:00:00;"ALBARAN Nº 63005";"1";"01";;1
80;4/2/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTO POR CIAL. NAVARRO HNOS. (VIENE DE LA NOTA DE ENTREGA Nº 3328)";1
81;4/2/2004 0:00:00;"TRASPASO 264";"4";"09";;1
82;5/2/2004 0:00:00;"REGULACION INTERIOR";"1";"01";"ESTAS REFERENCIAS ESTABAN EN AUTOMOCION";1
83;5/2/2004 0:00:00;"ALBARAN Nº 63005";"1";"01";;1
84;12/2/2004 0:00:00;"DEVOLUCION";"1";"01";"DEVUELTO POR AUTO SPORT ALGECIRAS";1
85;16/2/2004 0:00:00;"ALBARAN Nº 63005";"1";"01";;1
86;20/2/2004 0:00:00;"TRASPASO 269";"4";"09";;1
87;10/3/2004 0:00:00;"RETROCESO POR ERROR";"1";"09";"SE LE DIO SALIDA EN LA NOTA DE ENTREGA NUESTRA Nº 3510, Y POR ERROR SE LE PUSO AL DEPOSITO MEGA";1
88;10/3/2004 0:00:00;"RETROCESO POR ERROR";"1";"01";"ESTOS ARTICULOS NO ESTAN VIGENTES";1
89;11/3/2004 0:00:00;"ALBARAN Nº 64676";"1";"01";;1
90;16/3/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTO POR GRUPO PEÑA AUTOMOCION. SE PIDIO POR ERROR";1
91;19/3/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR HNOS. GOMEZ PLEGUEZUELOS. S/NOTA Nº 00952";1
92;22/3/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTO POR GRUPO PEÑA (ALBARAN LIZARTE Nº 3436 DE 11-04-2001)";1
93;25/3/2004 0:00:00;"ALBARAN Nº 64588";"1";"01";;0
94;29/3/2004 0:00:00;"ALBARAN Nº64588";"1";"01";;1
95;29/3/2004 0:00:00;"TRASPASO 277";"4";"09";;1
96;12/4/2004 0:00:00;"ALBARAN Nº 65665";"1";"01";;1
97;15/4/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTO POR AUTO SPORT MALAGA (NUESTRA NOTA DE ENTREGA Nº 3589)";1
98;26/4/2004 0:00:00;"ALBARAN Nº 65841";"1";"01";;1
99;27/4/2004 0:00:00;"DEVOLUCION";"4";"09";"MATERIAL DEVUELTO POR HNOS. GOMEZ PLEGUEZUELOS (DE SU NOTA DE ENTREGA Nº 3676)";1
100;29/4/2004 0:00:00;"TRASPASO 282";"4";"09";;1
101;5/5/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVOLUCION DE HNOS. GOMEZ PLEGUEZUELOS";1
102;10/5/2004 0:00:00;;"4";"09";"DEVOLUCION HNOS. GOMEZ PLEGUEZUELOS (SU NOTA 00984)";1
103;10/5/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR GRUPO PEÑA AUTOMOCION (SU NOTA 004393). VIENE DE LA NOTA DE ENTREGANº 3753";1
104;10/5/2004 0:00:00;"TRASPASO 287";"4";"09";;1
105;13/5/2004 0:00:00;"TRASPASO 287";"4";"09";;1
106;25/5/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR CIAL. NAVARRO HNOS. (SE ENTREGO EN LA NOTA Nº 3910)";1
107;26/5/2004 0:00:00;"ALBARAN 67182";"1";"01";;1
108;27/5/2004 0:00:00;"DEVOLUCION";"1";"01";"SON MODELOS ANTIGUOS (BP-1  y  CC-5-B) QUE SE LE HAN RETIRADO A CIAL. NAVARRO HNOS";1
109;31/5/2004 0:00:00;"TRASPASO 296";"4";"09";;1
110;10/6/2004 0:00:00;"TRASPASO 298";"4";"09";;1
111;17/6/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR AUTO RECAMBIOS EUROPA. SU NOTA DE ENTREGA Nº 4037";1
112;18/6/2004 0:00:00;"ALBARAN Nº 68153";"1";"01";;1
113;18/6/2004 0:00:00;"DEVOLUCION";"1";"01";"DEVUELTO POR RAMON MARTIN (SEVILLA)";1
114;18/6/2004 0:00:00;"ALBARAN 68195";"1";"01";;1
115;22/6/2004 0:00:00;"TRASPASO 302";"4";"09";;1
116;23/6/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTAS POR CIAL.NAVARRO HNOS. CORRESPONDEN A LAS NOTAS DE ENTREGA Nº 3982  Y  Nº 4042";1
117;23/6/2004 0:00:00;"TRASPASO Nº 302";"4";"09";;1
118;5/7/2004 0:00:00;"ALBARAN Nº 68686";"1";"01";;1
119;16/7/2004 0:00:00;"DEVOLUCION";"1";"01";"DEVUELTA POR RECAMBIOS Y LUBRICANTES DEL SUR";1
120;26/7/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR AUTO REC. EUROPA (Nº DE ENTREGA 4263)";1
121;29/7/2004 0:00:00;"ALBARAN 69484";"1";"01";;1
122;30/7/2004 0:00:00;"DEVOLUCION";"4";"09";"DEVUELTA POR CIAL. NAVARRO HNOS. (NOTA Nº 4264)";1
123;30/7/2004 0:00:00;"TRASPASO 307";"4";"09";;1
124;25/8/2004 0:00:00;"ALBARAN 69731";"1";"01";;1
