"IDFIRMA";"IDFAMILIA";"DESCRIPCION_FAMILIA";"IMPRIMIRTARIFA"
"01";"000000";"TODAS LAS FAMILIAS";0
"01";"01";"GATOS DE BOTELLA";0
"01";"02";"AUTOMOCIÓN";0
"01";"03";"INDUSTRIA";1
"01";"04";"REPUESTOS";0
"01";"05";"ABONOS";0
"01";"06";"CARGOS VARIOS";0
"01";"07";"NULA";0
"02";"000000";"TODAS LAS FAMILIAS";1
"02";"01";"COMPRESORES";1
"02";"02";"CARGADORES / COMPROBACION";1
"02";"03";"SOLDADURA";1
"02";"04";"HIDROLIMPIADORAS";1
"02";"05";"ASPIRADORES";1
"02";"06";"CARROS / ARTÍCULOS VARIOS";1
"02";"07";"ACCESORIOS AIRE";1
"02";"08";"LUBRICACION";1
"02";"09";"RECAMBIOS";1
"02";"10";"ABONOS";1
"02";"11";"CARGOS VARIOS";1
"02";"12";"TENAZAS GRIP";1
"02";"14";"HIDROLIMPIADORAS LAVOR";1
"02";"15";"ASPIRADORES ANTIGUOS";1
"03";"000000";"TODAS LAS FAMILIAS";1
"03";"01";"CARGOS VARIOS";1
"03";"02";"ABONOS";1
"03";"03";"DIAGNOSIS MOTOR";1
"03";"04";"GENERAL";1
"03";"05";"SERIE 9000";1
"03";"06";"CARGADORES SERIE 70";1
"05";"000000";"TODAS LAS FAMILIAS";0
"05";"01";"COMPRESORES";1
"05";"02";"CASCOS";0
"05";"03";"COMPRESORES NUEVOS";1
"05";"06";"ABONOS";0
"05";"07";"CARGOS VARIOS";0
"06";"000";"ABONOS";1
"06";"000000";"TODAS LAS FAMILIAS";1
"06";"001";"CARGOS VARIOS";1
"06";"10R";"RODAMIENTOS";1
"06";"20K";"KITS DE RUEDA";1
"06";"21K";"KITS DE DISTRIBUCIÓN";1
"06";"30F";"RÓTULAS TIPO A";1
"06";"31F";"RÓTULAS TIPO B";1
"07";"000000";"TODAS LAS FAMILIAS";1
"07";"01";"AUTÓGENA";1
"07";"02";"PROPANO";1
"07";"03";"ELÉCTRICA";1
"07";"04";"SUPERLEMA";1
"07";"05";"MILLER";1
"07";"07";"MASE";1
"07";"08";"ANTORCHAS GM";1
