"IDPROMOCION";"IDFIRMA";"IDFAMILIA";"IDARTICULO";"FECHALIMITE";"CANTIDADMINIMA";"NETO";"DESCUENTO";"COMISION"
15;"08";"01";"121000";31/12/2010 0:00:00;100,00;1,65 €;0,00;5,00
17;"08";"01";"199800";31/12/2010 0:00:00;10,00;31,97 €;0,00;5,00
142;"01";"02";"TR300";28/2/2016 0:00:00;1,00;215,00 €;33,00;7,00
143;"01";"02";"FC-5-A";28/2/2016 0:00:00;1,00;430,00 €;33,00;7,00
145;"01";"02";"KMG-30A";28/2/2016 0:00:00;1,00;589,00 €;33,00;7,00
146;"01";"02";"KP-30A";28/2/2016 0:00:00;1,00;795,00 €;33,00;7,00
147;"01";"02";"TR300";28/2/2016 0:00:00;1,00;215,00 €;30,00;7,00
148;"01";"02";"TR300";28/2/2016 0:00:00;1,00;215,00 €;27,00;7,00
186;"01";"02";"FC-5-A";28/2/2016 0:00:00;1,00;430,00 €;30,00;7,00
187;"01";"02";"FC-5-A";28/2/2016 0:00:00;1,00;430,00 €;27,00;7,00
189;"01";"02";"FC-5-A";28/2/2016 0:00:00;1,00;430,00 €;25,00;7,00
211;"01";"02";"KPD-50A";28/2/2016 0:00:00;1,00;1050,00 €;33,00;7,00
212;"01";"02";"KPD-50A";28/2/2016 0:00:00;1,00;1050,00 €;30,00;7,00
214;"01";"02";"KMG-30A";28/2/2016 0:00:00;1,00;589,00 €;30,00;7,00
215;"01";"02";"KMG-30A";28/2/2016 0:00:00;1,00;589,00 €;27,00;7,00
217;"01";"02";"KMG-30A";28/2/2016 0:00:00;1,00;589,00 €;25,00;7,00
233;"01";"02";"KP-30A";28/2/2016 0:00:00;1,00;795,00 €;30,00;7,00
234;"01";"02";"KP-30A";28/2/2016 0:00:00;1,00;795,00 €;27,00;7,00
236;"01";"02";"KP-30A";28/2/2016 0:00:00;1,00;795,00 €;25,00;7,00
251;"01";"02";"ME-1200";31/1/2014 0:00:00;1,00;699,00 €;30,00;7,00
252;"01";"02";"ME-1200";31/1/2014 0:00:00;1,00;699,00 €;25,00;7,00
254;"01";"02";"ME-1200";31/1/2014 0:00:00;1,00;699,00 €;33,00;7,00
258;"01";"02";"ME-1500";28/2/2016 0:00:00;1,00;795,00 €;33,00;7,00
260;"01";"02";"ME-1500";28/2/2016 0:00:00;1,00;795,00 €;30,00;7,00
279;"01";"02";"SRH";31/1/2011 0:00:00;1,00;537,00 €;0,00;7,00
297;"01";"02";"PTM-2";28/2/2016 0:00:00;2,00;540,00 €;0,00;7,00
306;"01";"04";"TJ-2/1109";31/1/2005 0:00:00;10,00;6,00 €;0,00;0,00
307;"01";"04";"TJ-2/1110";31/1/2005 0:00:00;10,00;6,00 €;0,00;0,00
313;"03";"03";"LH5172";31/12/2005 0:00:00;1,00;3971,00 €;0,00;5,00
314;"03";"03";"LH5172/G";31/12/2005 0:00:00;1,00;2585,00 €;0,00;5,00
315;"03";"03";"LH5159";31/12/2005 0:00:00;1,00;4499,00 €;0,00;5,00
316;"03";"03";"LH5059";31/12/2005 0:00:00;1,00;3272,00 €;0,00;5,00
317;"03";"03";"LH5054";31/12/2005 0:00:00;1,00;2629,00 €;0,00;5,00
318;"03";"03";"LH5154";31/12/2005 0:00:00;1,00;1985,00 €;0,00;5,00
322;"03";"03";"LH5172";31/12/2005 0:00:00;1,00;3610,00 €;0,00;5,00
323;"03";"03";"LH5172/G";31/12/2005 0:00:00;1,00;2350,00 €;0,00;5,00
324;"03";"03";"LH5159";31/12/2005 0:00:00;1,00;4090,00 €;0,00;5,00
325;"03";"03";"LH5059";31/12/2005 0:00:00;1,00;2975,00 €;0,00;5,00
326;"03";"03";"LH5054";31/12/2005 0:00:00;1,00;2390,00 €;0,00;5,00
327;"03";"03";"LH5154";31/12/2005 0:00:00;1,00;1805,00 €;0,00;5,00
336;"03";"03";"LH5059";1/2/2005 0:00:00;1,00;3272,50 €;0,00;5,00
337;"03";"03";"LH5154";1/2/2005 0:00:00;1,00;1985,50 €;0,00;5,00
338;"03";"03";"LH5172";1/2/2005 0:00:00;1,00;3971,00 €;0,00;5,00
339;"03";"03";"LH5172/G";1/2/2005 0:00:00;1,00;2585,00 €;0,00;5,00
340;"03";"03";"LH5159";1/2/2005 0:00:00;1,00;4499,00 €;0,00;5,00
341;"03";"03";"LH5054";1/2/2005 0:00:00;1,00;2629,00 €;0,00;5,00
345;"03";"03";"LH5172";1/2/2005 0:00:00;1,00;3610,00 €;0,00;5,00
346;"03";"03";"LH5059";1/2/2005 0:00:00;1,00;2975,00 €;0,00;5,00
347;"03";"03";"LH5159";1/2/2005 0:00:00;1,00;4090,00 €;0,00;5,00
348;"03";"03";"LH5054";1/2/2005 0:00:00;1,00;2395,00 €;0,00;5,00
349;"03";"03";"LH5154";1/2/2005 0:00:00;1,00;1805,00 €;0,00;5,00
360;"08";"01";"121020";31/12/2010 0:00:00;100,00;1,60 €;0,00;5,00
362;"10";"01";"BM-5,0-RAG";31/12/2010 0:00:00;216,00;5,75 €;0,00;3,00
433;"08";"01";"109927";31/12/2010 0:00:00;50,00;9,94 €;0,00;5,00
434;"08";"01";"137051";31/12/2010 0:00:00;100,00;4,83 €;0,00;5,00
435;"08";"01";"167500";31/12/2010 0:00:00;10,00;59,38 €;0,00;5,00
441;"08";"01";"109927";31/12/2010 0:00:00;100,00;9,42 €;0,00;5,00
442;"08";"01";"137051";31/12/2010 0:00:00;100,00;4,48 €;0,00;5,00
447;"08";"01";"109900";31/12/2010 0:00:00;60,00;9,25 €;0,00;5,00
448;"08";"01";"109910";31/12/2010 0:00:00;50,00;11,35 €;0,00;5,00
449;"08";"01";"109925";31/12/2010 0:00:00;50,00;12,20 €;0,00;5,00
450;"08";"01";"121011";31/12/2010 0:00:00;200,00;1,44 €;0,00;5,00
451;"08";"01";"157000";31/12/2010 0:00:00;10,00;109,40 €;0,00;5,00
452;"08";"01";"167500";31/12/2010 0:00:00;2,00;65,00 €;0,00;5,00
453;"08";"01";"199800";31/12/2010 0:00:00;6,00;33,70 €;0,00;5,00
454;"08";"01";"208700";31/12/2010 0:00:00;10,00;17,45 €;0,00;5,00
455;"08";"01";"304500";31/12/2010 0:00:00;10,00;18,67 €;0,00;5,00
483;"08";"03";"372000";31/12/2010 0:00:00;12,00;316,36 €;0,00;5,00
484;"08";"03";"375300";31/12/2010 0:00:00;2,00;423,25 €;0,00;5,00
485;"08";"03";"425150";31/12/2010 0:00:00;2,00;292,31 €;0,00;5,00
493;"08";"03";"454653";31/12/2010 0:00:00;1,00;601,90 €;0,00;5,00
496;"08";"02";"284100";31/12/2010 0:00:00;6,00;46,31 €;0,00;5,00
497;"08";"02";"282500";31/12/2010 0:00:00;4,00;87,36 €;0,00;5,00
498;"08";"02";"281500";31/12/2010 0:00:00;2,00;195,52 €;0,00;5,00
499;"08";"02";"280500";31/12/2010 0:00:00;2,00;177,32 €;0,00;5,00
500;"08";"01";"195000";31/12/2010 0:00:00;6,00;54,72 €;0,00;5,00
531;"08";"02";"280500";31/12/2006 0:00:00;6,00;142,00 €;0,00;5,00
532;"08";"02";"281500";31/12/2005 0:00:00;6,00;160,00 €;0,00;5,00
533;"08";"02";"282500";31/12/2005 0:00:00;10,00;67,00 €;0,00;5,00
536;"03";"03";"LH5159";28/2/2006 0:00:00;10,00;3700,00 €;0,00;5,00
