"IDFIRMA";"IDFAMILIA";"IDARTICULO";"TARIFA";"PRECIO"
"09";"03";"20000002";1;13,00 €
"09";"03";"20000002";2;13,50 €
"09";"03";"20000002";3;14,00 €
"09";"03";"20000002";4;14,02 €
"09";"03";"20000002";5;14,50 €
"09";"03";"20000002";6;15,00 €
"09";"03";"20000002";7;15,50 €
"09";"03";"20000002";8;16,00 €
"09";"03";"20000002";9;16,50 €
"09";"03";"20000002";10;17,00 €
"09";"03";"20000002";11;17,50 €
"09";"03";"20000002";12;18,00 €
"09";"03";"20000003";1;13,00 €
"09";"03";"20000003";2;13,50 €
"09";"03";"20000003";3;14,00 €
"09";"03";"20000003";4;14,02 €
"09";"03";"20000003";5;14,50 €
"09";"03";"20000003";6;15,00 €
"09";"03";"20000003";7;15,50 €
"09";"03";"20000003";8;16,00 €
"09";"03";"20000003";9;16,50 €
"09";"03";"20000003";10;17,00 €
"09";"03";"20000003";11;17,50 €
"09";"03";"20000003";12;18,00 €
"09";"03";"20000004";1;13,00 €
"09";"03";"20000004";2;13,50 €
"09";"03";"20000004";3;14,00 €
"09";"03";"20000004";4;14,02 €
"09";"03";"20000004";5;14,50 €
"09";"03";"20000004";6;15,00 €
"09";"03";"20000004";7;15,50 €
"09";"03";"20000004";8;16,00 €
"09";"03";"20000004";9;16,50 €
"09";"03";"20000004";10;17,00 €
"09";"03";"20000004";11;17,50 €
"09";"03";"20000004";12;18,00 €
"09";"03";"20000005";1;13,00 €
"09";"03";"20000005";2;13,50 €
"09";"03";"20000005";3;14,00 €
"09";"03";"20000005";4;14,02 €
"09";"03";"20000005";5;14,50 €
"09";"03";"20000005";6;15,00 €
"09";"03";"20000005";7;15,50 €
"09";"03";"20000005";8;16,00 €
"09";"03";"20000005";9;16,50 €
"09";"03";"20000005";10;17,00 €
"09";"03";"20000005";11;17,50 €
"09";"03";"20000005";12;18,00 €
"09";"03";"20000011";1;13,00 €
"09";"03";"20000011";2;13,50 €
"09";"03";"20000011";3;14,00 €
"09";"03";"20000011";4;14,02 €
"09";"03";"20000011";5;14,50 €
"09";"03";"20000011";6;15,00 €
"09";"03";"20000011";7;15,50 €
"09";"03";"20000011";8;16,00 €
"09";"03";"20000011";9;16,50 €
"09";"03";"20000011";10;17,00 €
"09";"03";"20000011";11;17,50 €
"09";"03";"20000011";12;18,00 €
"09";"03";"20000012";1;13,00 €
"09";"03";"20000012";2;13,50 €
"09";"03";"20000012";3;14,00 €
"09";"03";"20000012";4;14,02 €
"09";"03";"20000012";5;14,50 €
"09";"03";"20000012";6;15,00 €
"09";"03";"20000012";7;15,50 €
"09";"03";"20000012";8;16,00 €
"09";"03";"20000012";9;16,50 €
"09";"03";"20000012";10;17,00 €
"09";"03";"20000012";11;17,50 €
"09";"03";"20000012";12;18,00 €
"09";"03";"20000013";1;13,00 €
"09";"03";"20000013";2;13,50 €
"09";"03";"20000013";3;14,00 €
"09";"03";"20000013";4;14,02 €
