"IDFACTURA";"IDVCTO";"FECHA";"IMPORTE"
1;3;11/4/2002 0:00:00;544.71 €
2;2;11/2/2002 0:00:00;54.86 €
3;4;10/4/2002 0:00:00;101.34 €
4;5;15/3/2002 0:00:00;580.82 €
5;6;11/4/2002 0:00:00;1086.27 €
6;7;11/2/2002 0:00:00;266.15 €
9;8;25/4/2002 0:00:00;664.00 €
10;9;25/4/2002 0:00:00;1378.22 €
11;10;27/3/2002 0:00:00;3764.92 €
12;11;30/4/2002 0:00:00;449.82 €
14;12;11/3/2002 0:00:00;453.17 €
15;13;11/3/2002 0:00:00;1170.34 €
16;14;11/3/2002 0:00:00;880.43 €
16;15;11/4/2002 0:00:00;880.43 €
16;16;11/5/2002 0:00:00;880.43 €
16;17;11/6/2002 0:00:00;880.42 €
17;18;25/4/2002 0:00:00;142.68 €
18;19;11/4/2002 0:00:00;1545.26 €
19;20;15/3/2002 0:00:00;233.83 €
20;21;25/4/2002 0:00:00;899.05 €
21;22;11/3/2002 0:00:00;585.44 €
22;23;11/3/2002 0:00:00;137.68 €
23;24;11/3/2002 0:00:00;1156.42 €
24;25;11/4/2002 0:00:00;773.02 €
25;26;15/4/2002 0:00:00;941.22 €
26;27;11/3/2002 0:00:00;1237.94 €
30;28;18/4/2002 0:00:00;2982.89 €
31;29;18/4/2002 0:00:00;366.95 €
32;30;15/4/2002 0:00:00;975.91 €
33;31;18/3/2002 0:00:00;545.99 €
34;32;18/3/2002 0:00:00;223.08 €
35;33;18/3/2002 0:00:00;1120.55 €
37;34;20/4/2002 0:00:00;1364.83 €
38;35;20/4/2002 0:00:00;1364.83 €
39;36;18/3/2002 0:00:00;37.64 €
40;37;15/4/2002 0:00:00;869.35 €
42;38;20/2/2002 0:00:00;2937.94 €
43;39;18/3/2002 0:00:00;233.71 €
44;40;18/3/2002 0:00:00;188.21 €
45;41;18/4/2002 0:00:00;2026.79 €
46;42;30/4/2002 0:00:00;551.77 €
48;43;18/3/2002 0:00:00;273.55 €
51;44;10/4/2002 0:00:00;1129.40 €
52;45;14/4/2002 0:00:00;452.53 €
54;46;27/3/2002 0:00:00;3194.67 €
55;47;10/4/2002 0:00:00;976.02 €
57;48;30/4/2002 0:00:00;982.97 €
58;49;5/5/2002 0:00:00;11319.76 €
60;50;14/3/2002 0:00:00;117.76 €
61;51;25/3/2002 0:00:00;435.38 €
62;52;14/3/2002 0:00:00;1742.92 €
62;53;;0.00 €
63;54;14/2/2002 0:00:00;439.94 €
64;55;14/4/2002 0:00:00;799.30 €
65;56;14/4/2002 0:00:00;114.33 €
67;57;14/2/2002 0:00:00;24.01 €
68;58;14/3/2002 0:00:00;906.31 €
69;59;14/4/2002 0:00:00;1115.47 €
69;60;14/5/2002 0:00:00;1115.47 €
69;61;14/6/2002 0:00:00;1115.47 €
71;62;18/2/2002 0:00:00;1302.58 €
72;63;18/2/2002 0:00:00;1378.41 €
73;64;18/4/2002 0:00:00;237.15 €
74;65;10/4/2002 0:00:00;278.86 €
76;66;18/4/2002 0:00:00;515.90 €
80;67;5/5/2002 0:00:00;593.06 €
82;68;11/4/2002 0:00:00;230.91 €
83;69;11/4/2002 0:00:00;104.30 €
